Top Q S-full,Top Q R-full,Mid Q S-full,Mid Q R-full,Corr-full,Gini-full,Churn-full,Top Q S-null-ref,Mid Q S-null-ref,Corr-null-ref,Gini-null-ref,Churn-null-ref,Top Q S-null-thre,Mid Q S-null-thre,Corr-null-thre,Gini-null-thre,Churn-null-thre
32,0,8,0,0.7997620392123060,0.6464533045977010,34,33,7,0.7770067588577710,0.9184568965517240,10,32,8,0.7771860872894700,0.9211400980109540,39
30,0,10,0,0.7999726823336780,0.6487094017094020,12,33,7,0.7769505949617670,0.9184672364672370,9,30,10,0.7774670145470010,0.9210302080364780,12
29,4,3,3,0.80002183258846,0.6499724576271190,15,31,9,0.777078823630689,0.9184237288135590,12,29,3,0.7776953089878370,0.9209331267023580,8
31,0,9,0,0.7999939943747910,0.652218487394958,13,34,6,0.7769516812686110,0.9184670868347340,10,31,9,0.7778421361079460,0.9208753598959790,14
0,4,0,13,0.8010236540778850,0.6488048611111110,34,34,6,0.7768184047291540,0.9185027777777780,11,0,0,0.7779453968000490,0.9208262147515390,0
9,9,0,2,0.80026363717351,0.6464352617079890,36,31,9,0.7769378792140810,0.9184841597796140,11,9,0,0.7779453968000490,0.9208262147515390,9
0,8,0,11,0.8010218219436060,0.642391393442623,35,33,7,0.7769576227248950,0.918483606557377,13,0,0,0.7777957307051810,0.9209739783763970,0
2,5,0,8,0.8011015578804140,0.6392100271002710,38,32,8,0.7768547102312150,0.9184986449864500,10,2,0,0.7777957307051810,0.9209739783763970,2
26,0,0,9,0.8009099770454000,0.6398958333333330,33,32,8,0.7767285616060420,0.9185262096774190,8,26,0,0.7778846021969480,0.9210155677655680,24
32,0,8,0,0.8009210697681910,0.641892,17,31,9,0.7766875870710490,0.9185293333333330,9,32,8,0.7779974221897470,0.9209519927536230,17
4,4,0,9,0.8016378534343010,0.6387136243386240,33,30,10,0.7768218365368740,0.9185033068783070,12,4,0,0.7780692405330980,0.9208987455197130,0
1,6,0,14,0.8028575492272310,0.6364481627296590,36,31,9,0.7768714887434200,0.9184914698162730,12,1,0,0.7781463204496510,0.9209765485141430,0
1,4,0,13,0.8037953072658600,0.6340006510416670,36,30,10,0.7770113006351040,0.9184498697916670,12,1,0,0.7781528717857020,0.9209964205816550,1
0,7,0,10,0.8043414198013340,0.631296511627907,36,34,6,0.7768594165657040,0.9185038759689920,9,0,0,0.7782240985635750,0.9210171765968870,0
2,6,0,9,0.8043764347291850,0.6280628205128210,37,31,9,0.7769568838980500,0.9184814102564100,11,2,0,0.7782240985635750,0.9210171765968870,2
0,10,0,12,0.8047877372274670,0.6266202290076340,32,34,6,0.7769698165408600,0.9184713740458020,9,0,0,0.7782959235597810,0.9210577610872680,0
24,3,1,7,0.8047261444173280,0.6274172979797980,31,35,5,0.7768322523371030,0.9185195707070710,7,24,1,0.7782959235597810,0.9210577610872680,25
31,0,9,0,0.8047010016680100,0.6295607769423560,19,32,8,0.7767850108197030,0.9185338345864660,11,31,9,0.7784481520790680,0.9209775300778490,19
35,0,5,0,0.8043382217111860,0.6317730099502490,9,34,6,0.7767053731664080,0.918556592039801,11,35,5,0.7782950566856290,0.9210285364145660,9
0,7,0,11,0.8048791928158040,0.6287888888888890,34,31,9,0.7767235297574150,0.918541975308642,11,0,0,0.7781189145723460,0.9210828135828140,0
1,7,0,4,0.8044307476750380,0.6262401960784310,35,31,9,0.776766270201267,0.9185281862745100,11,1,0,0.7781189145723460,0.9210828135828140,1
30,0,10,0,0.8045052309342980,0.6283278588807790,34,29,11,0.776971917583317,0.9184665450121650,10,30,10,0.7783258418564770,0.9209996570644720,39
34,0,6,0,0.8041356598832110,0.6304782608695650,9,34,6,0.7767817414094640,0.9185229468599040,11,34,6,0.7781759204517250,0.9210319076714190,9
33,0,7,0,0.8038711383356460,0.6325821342925660,9,32,8,0.7768119041083940,0.9185083932853720,9,33,7,0.7781045015215800,0.9210433467741940,9
0,4,0,10,0.8039957990449140,0.6291690476190480,36,33,7,0.7767683129277120,0.918514880952381,10,0,0,0.7780077924692310,0.9210587159015300,0
29,0,11,0,0.8039825359297090,0.6311897163120570,35,30,10,0.7769604733103370,0.9184645390070920,14,29,11,0.7781485264231110,0.9209930830039530,40
0,11,0,6,0.8038387852878690,0.6285592723004700,30,34,6,0.7770308143662630,0.9184178403755870,11,0,0,0.7782531811312680,0.9209360730593610,0
1,6,0,7,0.8032506552472630,0.6254155011655010,37,35,5,0.7769184827249120,0.9184516317016320,11,1,0,0.7782531811312680,0.9209360730593610,1
32,0,8,0,0.8031191216669890,0.6274606481481480,34,33,7,0.7768506670645120,0.9184809027777780,9,32,8,0.7783088649442990,0.920906007751938,39
0,6,0,10,0.8036644720085090,0.6252994252873560,35,30,10,0.7770424960497680,0.918417816091954,10,0,0,0.778334620800431,0.920881317978247,0
4,6,0,7,0.8037689981981490,0.6230833333333330,35,28,12,0.7773457089099670,0.918332191780822,16,4,0,0.778334620800431,0.920881317978247,4
22,5,1,5,0.803445729267965,0.6228560090702950,34,34,6,0.777222487109056,0.9183650793650790,14,22,1,0.7784041241826210,0.9209507829977630,19
31,0,9,0,0.8034523724402230,0.6247100225225230,21,31,9,0.7773661271222830,0.918321509009009,12,31,9,0.778513542466181,0.9208705286483060,21
30,0,10,0,0.8033178285502310,0.6266610738255030,13,34,6,0.777322629835909,0.9183350111856820,12,30,10,0.7785284656709400,0.9208192223267480,13
2,7,0,7,0.8031533294606900,0.6243216666666670,32,31,9,0.7773272104809890,0.9183216666666670,13,2,0,0.7785156387449770,0.9207750854302580,0
35,0,5,0,0.8028529928444080,0.626317880794702,32,31,9,0.7773866815662580,0.9183057395143490,13,35,5,0.7783409343604060,0.9208302554632200,38
31,0,9,0,0.8027416765908640,0.6282313596491230,10,31,9,0.7773470227235690,0.9183163377192980,10,31,9,0.7783527368218930,0.9207982616651420,10
31,0,9,0,0.8025166336972890,0.6301486928104580,11,34,6,0.7773060924444910,0.9183300653594770,10,31,9,0.7782798411540620,0.9208038682381380,11
19,8,0,4,0.8021108006410120,0.629897186147186,20,32,8,0.7773733718763680,0.9183257575757570,11,19,0,0.778184955011977,0.9208153638814020,2
3,7,0,9,0.802504167329275,0.6280607526881720,35,30,10,0.777593785125375,0.9182736559139790,10,3,0,0.7779274861348380,0.9209673451129500,0
33,0,7,0,0.8023766050840810,0.6299380341880340,31,33,7,0.7775623292433200,0.918292735042735,10,33,7,0.7779621795834120,0.9209558117195010,37
34,0,6,0,0.8020729999379140,0.6318094479830150,10,32,8,0.7775255771360690,0.9183115711252650,11,34,6,0.7778031125323690,0.920980370614517,10
31,0,9,0,0.8020737662902760,0.6335537974683540,11,31,9,0.7775265519405200,0.9183164556962030,11,31,9,0.7779585700814120,0.9208847019530970,11
33,0,7,0,0.8019530203030080,0.635356394129979,11,31,9,0.7775848282357460,0.9183055555555560,12,33,7,0.7779910375813520,0.9208784999640110,11
2,7,0,8,0.8018933792261250,0.6331838541666670,31,33,7,0.7776102686730300,0.9183078125,10,2,0,0.7780006225657800,0.9208773995575540,0
30,0,10,0,0.8019291231017640,0.6349265010351970,31,34,6,0.77756594914253,0.9183229813664600,8,30,10,0.7781499327003360,0.9208147597820700,38
34,0,6,0,0.801706085216917,0.6367057613168720,11,33,7,0.7775380667600320,0.9183281893004110,11,34,6,0.7780228620252440,0.920841577211815,11
31,0,9,0,0.8017019686209750,0.6384059304703480,10,33,7,0.7775388632493620,0.9183220858895710,9,31,9,0.7781618889124310,0.9207788909761360,10
28,0,12,0,0.801780147776139,0.6400015243902440,11,32,8,0.7776226739351560,0.9182865853658540,10,28,12,0.7782993618215380,0.9207020630649280,11
32,0,8,0,0.8016274868207460,0.6416974747474750,9,32,8,0.7775967511898130,0.9182893939393940,11,32,8,0.7782413644120510,0.9207004037500850,9
34,0,6,0,0.8014552532445330,0.6433820281124500,11,31,9,0.7775692900351990,0.9183022088353410,11,34,6,0.7782194100075920,0.9207028439557460,11
34,0,6,0,0.8011349547702780,0.6450643712574850,8,30,10,0.7777800758001600,0.9182225548902200,13,34,6,0.778062121379972,0.9207375614354000,8
0,11,0,10,0.8012452119058980,0.6432306547619050,27,33,7,0.7777554985022990,0.9182182539682540,14,0,0,0.7778924540161970,0.9207750617778670,0
0,5,0,7,0.8013374237198860,0.6399270216962520,38,31,9,0.7778408905049690,0.9181957593688360,10,0,0,0.7778924540161970,0.9207750617778670,0
1,7,0,11,0.8012394236962890,0.6376607843137260,34,32,8,0.7778471196972480,0.9181950980392160,12,1,0,0.7778924540161970,0.9207750617778670,1
8,8,0,6,0.8010832065258440,0.6357110136452240,33,32,8,0.7778127428605380,0.9182163742690060,12,8,0,0.7779542020899630,0.9207905982905980,7
33,0,7,0,0.8008557902436920,0.637390503875969,27,33,7,0.7777824308173250,0.9182238372093020,11,33,7,0.77786325303867,0.9208161102278750,32
4,8,0,9,0.8009570806963890,0.6360394990366090,28,31,9,0.7777982543071960,0.9182220616570330,10,4,0,0.7777577093269320,0.9208425341745530,0
33,0,7,0,0.8009760374497600,0.6376379310344830,29,33,7,0.7777399771311260,0.9182370689655170,9,33,7,0.7778988488548180,0.9207922535211270,36
14,4,0,10,0.8010865367423530,0.6368157142857140,25,32,8,0.777761162953028,0.91822,10,14,0,0.7780169930766350,0.9207466356107660,1
31,0,9,0,0.8011152290476720,0.6383958333333330,24,31,9,0.7777822290364670,0.9182154356060610,12,31,9,0.7781589006506110,0.9206972265023110,26
7,8,0,9,0.8010705810121330,0.6367824858757060,28,31,9,0.7778505813189230,0.9182099811676080,11,7,0,0.7782775609257210,0.9206530326197760,0
28,0,12,0,0.8011191225686180,0.6383356741573030,29,34,6,0.7778451869042670,0.9182092696629210,13,28,12,0.7783856791750830,0.9206038189175520,33
33,0,7,0,0.8010142507817330,0.6399031657355680,10,30,10,0.7779115269675900,0.9181852886405960,12,33,7,0.7784022750035300,0.9205873493975900,10
1,7,0,7,0.8012463735020070,0.6378490740740740,34,34,6,0.7778654383161890,0.9182106481481480,11,1,0,0.7784011999619360,0.9205761086198310,0
